sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,78,細懸浮微粒,普通,0.3,0.15,38.1,50.8,21,11,3.5,3.8,0.3,3.8,87,"2024/01/09 18:00:00",0.3,26.5,47,0,120.651472,22.260899,313
新北(樹林),新北市,48,,良好,0.5,0.48,18.9,21,26,16,29,36.5,7.4,0,163,"2024/01/09 18:00:00",0.3,14.3,27,0,121.38352778,24.94902778,311
臺中(大甲),臺中市,53,細懸浮微粒,普通,0.3,0.27,39.3,35.6,22,18,10,10.9,0.9,2.1,44,"2024/01/09 18:00:00",0.2,16.5,34,0,120.65575,24.391,310
屏東(琉球),屏東縣,81,細懸浮微粒,普通,1.3,0.25,62.5,47.1,59,21,11.6,11.8,0.2,3.6,282,"2024/01/09 18:00:00",0.4,27.6,62,3,120.37722,22.35222,204
臺南(麻豆),臺南市,54,細懸浮微粒,普通,0.6,0.25,39.9,42.9,38,15,9.6,10.7,1.1,1.9,4,"2024/01/09 18:00:00",0.2,16.9,39,0,120.24583056,23.17904722,203
高雄(湖內),高雄市,50,,良好,2.6,0.35,40.1,41.3,48,11,13.4,14.6,1.2,0.9,224,"2024/01/09 18:00:00",0.2,14.4,50,2,120.24535,22.87985556,202
彰化(員林),彰化縣,65,細懸浮微粒,普通,1.8,0.46,28.5,35.8,55,21,19.5,22.1,2.6,1.2,336,"2024/01/09 18:00:00",0.3,21.3,46,2,120.56373,23.96117,201
大城,彰化縣,52,細懸浮微粒,普通,0.3,0.17,52.5,49.4,26,21,2.7,3,0.3,8,29,"2024/01/09 18:00:00",0.1,15.9,30,0,120.26964167,23.85493056,85
富貴角,新北市,47,,良好,0.3,0.14,53.2,51.8,18,5,1.2,1,0,3.3,49,"2024/01/09 18:00:00",0.1,6.6,30,0,121.53656894,25.29681695,84
麥寮,雲林縣,58,細懸浮微粒,普通,1,0.28,49.1,47,34,14,6,6.7,0.6,4.3,354,"2024/01/09 18:00:00",0.2,18.5,33,1,120.251825,23.753506,83
關山,臺東縣,34,,良好,0.1,0.24,39.3,37.4,23,7,6,6.8,0.7,1.9,13,"2024/01/09 18:00:00",0.2,3.2,16,0,121.161933,23.045083,80
馬公,澎湖縣,45,,良好,0.3,0.25,49.8,49,15,12,3.9,5,1,3,8,"2024/01/09 18:00:00",0.2,13.2,17,0,119.566158,23.569031,78
金門,金門縣,71,細懸浮微粒,普通,1.5,0.47,43.3,50.5,28,18,11.5,12.4,0.8,0.9,106,"2024/01/09 18:00:00",0.4,23.8,34,2,118.312256,24.432133,77
馬祖,連江縣,51,細懸浮微粒,普通,0.9,0.25,34.5,34.2,19,11,7.4,7.9,0.5,0.3,2,"2024/01/09 18:00:00",0.3,15.5,23,1,119.93149378,26.15188416,75
埔里,南投縣,49,,良好,1,0.31,49.6,53.2,29,11,8.3,9.5,1.1,2.2,290,"2024/01/09 18:00:00",0.2,14.8,26,1,120.967903,23.968842,72
復興,高雄市,74,細懸浮微粒,普通,0.7,0.55,43.2,42.4,71,24,20.6,22.9,2.3,1.5,264,"2024/01/09 18:00:00",0.5,24.9,61,1,120.312017,22.608711,71
