sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,46,,良好,0.2,0.19,39.3,41.3,19,13,2.8,2.8,0,3.8,86,"2024/01/12 05:00:00",0.1,14.1,26,0,120.651472,22.260899,313
新北(樹林),新北市,60,細懸浮微粒,普通,0.2,0.28,6.8,15.6,24,22,14,24,10,0.1,85,"2024/01/12 05:00:00",0.2,19,23,0,121.38352778,24.94902778,311
臺中(大甲),臺中市,77,細懸浮微粒,普通,0.5,0.33,2.1,4,31,21,27.2,51.1,23.8,0,50,"2024/01/12 05:00:00",0.4,25.9,37,0,120.65575,24.391,310
屏東(琉球),屏東縣,77,細懸浮微粒,普通,1.2,0.32,39.4,50.6,50,31,10.3,11.1,0.8,2.1,323,"2024/01/12 05:00:00",0.2,26.2,44,1,120.37722,22.35222,204
臺南(麻豆),臺南市,117,細懸浮微粒,對敏感族群不健康,0.9,0.56,4.3,9.7,74,49,20.9,32.7,11.8,0.2,95,"2024/01/12 05:00:00",0.4,41.5,74,1,120.24583056,23.17904722,203
高雄(湖內),高雄市,99,細懸浮微粒,普通,0.6,0.42,10.9,12.4,62,33,18.5,19.8,1.3,1,81,"2024/01/12 05:00:00",0.4,35,69,1,120.24535,22.87985556,202
彰化(員林),彰化縣,112,細懸浮微粒,對敏感族群不健康,2,0.63,0.7,3.7,63,39,23.7,36.6,12.8,0.3,347,"2024/01/12 05:00:00",0.6,39.7,67,2,120.56373,23.96117,201
大城,彰化縣,109,細懸浮微粒,對敏感族群不健康,3.6,0.7,4.4,9.3,56,37,31.3,32.7,1.3,1.5,73,"2024/01/12 05:00:00",0.7,38.6,71,1,120.26964167,23.85493056,85
富貴角,新北市,45,,良好,0.1,0.17,40.8,46.4,16,11,1.9,2,0,2.5,135,"2024/01/12 05:00:00",0.1,12.3,45,0,121.53656894,25.29681695,84
麥寮,雲林縣,119,細懸浮微粒,對敏感族群不健康,3.1,0.69,3.3,8.8,59,38,27.4,29.5,2.1,1.5,37,"2024/01/12 05:00:00",0.7,42.5,70,2,120.251825,23.753506,83
關山,臺東縣,55,細懸浮微粒,普通,0.7,0.25,11.3,23.1,27,14,3,3.4,0.4,0.4,104,"2024/01/12 05:00:00",0.2,17.1,29,0,121.161933,23.045083,80
馬公,澎湖縣,49,,良好,0.7,0.22,51.2,53.3,15,8,2.4,3.2,0.7,2,11,"2024/01/12 05:00:00",0.2,13.4,19,0,119.566158,23.569031,78
金門,金門縣,162,細懸浮微粒,對所有族群不健康,3.5,0.68,38.1,46.6,115,86,17.7,18.9,1.2,0.8,72,"2024/01/12 05:00:00",0.5,76.4,104,2,118.312256,24.432133,77
馬祖,連江縣,131,細懸浮微粒,對敏感族群不健康,2.5,0.38,51.1,58,70,54,7.9,8.5,0.6,0.6,1,"2024/01/12 05:00:00",0.3,47.2,67,1,119.93149378,26.15188416,75
埔里,南投縣,103,細懸浮微粒,對敏感族群不健康,1.2,0.37,10.4,16.6,29,29,2.7,4.5,1.8,0.4,329,"2024/01/12 05:00:00",0.4,36.3,44,1,120.967903,23.968842,72
復興,高雄市,106,細懸浮微粒,對敏感族群不健康,1.6,0.53,21.6,22.6,68,38,25,25.8,0.7,0.4,121,"2024/01/12 05:00:00",0.7,37.5,67,2,120.312017,22.608711,71
永和,新北市,47,,良好,1.5,0.28,21.7,26.8,21,16,8.8,9.7,0.9,0.8,122,"2024/01/12 05:00:00",0.3,14.6,24,1,121.516306,25.017,70
竹山,南投縣,112,細懸浮微粒,對敏感族群不健康,1,0.34,16,18.7,41,39,7.5,8.3,0.7,0.7,109,"2024/01/12 05:00:00",0.3,39.7,49,1,120.677306,23.756389,69
中壢,桃園市,62,細懸浮微粒,普通,1.2,0.6,11.4,14.6,30,21,19.3,29.5,10.1,0.2,180,"2024/01/12 05:00:00",0.8,19.9,31,2,121.221667,24.953278,68
三重,新北市,58,細懸浮微粒,普通,1.2,0.66,9.7,6.1,21,18,27.9,69.5,41.6,-,-,"2024/01/12 05:00:00",0.8,18.5,30,1,121.493806,25.072611,67
冬山,宜蘭縣,56,細懸浮微粒,普通,0.8,0.24,20.6,24.2,19,17,4.5,5,0.5,0.2,264,"2024/01/12 05:00:00",0.2,17.7,30,0,121.792928,24.632203,66
宜蘭,宜蘭縣,49,,良好,0.9,0.21,25.3,25.6,18,15,2.2,2.7,0.4,0.5,191,"2024/01/12 05:00:00",0.2,15,22,0,121.746394,24.747917,65
陽明,臺北市,43,,良好,0.7,0.2,45.1,46,17,8,2.3,3,0.6,,,"2024/01/12 05:00:00",0.2,11.1,19,0,121.529583,25.182722,64
花蓮,花蓮縣,59,細懸浮微粒,普通,1.2,0.24,21.3,24.3,11,12,2,2.6,0.6,2,214,"2024/01/12 05:00:00",0.2,18.6,24,1,121.599769,23.971306,63
臺東,臺東縣,59,細懸浮微粒,普通,0.7,0.26,32,35.1,25,19,2.3,2.7,0.4,1.4,322,"2024/01/12 05:00:00",0.2,18.8,29,0,121.15045,22.755358,62
恆春,屏東縣,46,,良好,1.1,0.25,46.5,45.2,25,13,1.1,1.9,0.7,6.3,34,"2024/01/12 05:00:00",0.2,14.2,26,0,120.788928,21.958069,61
潮州,屏東縣,86,細懸浮微粒,普通,0.9,0.39,17.9,31.2,40,25,4.7,5.1,0.4,0.5,354,"2024/01/12 05:00:00",0.3,29.6,44,1,120.561175,22.523108,60
屏東,屏東縣,96,細懸浮微粒,普通,1.2,0.35,24.7,24.2,52,30,8.6,8.7,0,0.4,1,"2024/01/12 05:00:00",0.5,33.6,58,2,120.488033,22.673081,59
小港,高雄市,103,細懸浮微粒,對敏感族群不健康,1.2,0.47,20.1,20.2,62,42,21.7,22,0.2,0.7,9,"2024/01/12 05:00:00",0.5,36.1,63,2,120.337736,22.565833,58
前鎮,高雄市,100,細懸浮微粒,普通,1.3,0.52,20.4,20,69,42,24.8,25.7,0.8,0.2,75,"2024/01/12 05:00:00",0.7,35.2,68,2,120.30833356,22.6044507,57
前金,高雄市,92,細懸浮微粒,普通,1.3,0.47,27.1,26,68,36,19.7,20.3,0.6,1.4,292,"2024/01/12 05:00:00",0.5,32.1,66,1,120.28676111,22.63390278,56
左營,高雄市,120,細懸浮微粒,對敏感族群不健康,1.7,1.2,4.4,14,77,50,37.3,41.1,3.7,0.7,28,"2024/01/12 05:00:00",0.7,42.9,72,2,120.292917,22.674861,54
楠梓,高雄市,108,細懸浮微粒,對敏感族群不健康,1.4,0.48,14.2,9,56,34,26.2,27.2,1,0.4,64,"2024/01/12 05:00:00",0.6,38.2,72,1,120.328289,22.733667,53
林園,高雄市,116,細懸浮微粒,對敏感族群不健康,3.4,0.38,23.3,26.7,69,44,10.6,10.6,0,2,28,"2024/01/12 05:00:00",0.4,41.4,73,1,120.41175,22.4795,52
大寮,高雄市,110,細懸浮微粒,對敏感族群不健康,18.4,0.42,31.6,16.5,56,36,16.5,16.8,0.3,0.4,333,"2024/01/12 05:00:00",0.5,38.9,65,2,120.425311,22.56413611,51
鳳山,高雄市,108,細懸浮微粒,對敏感族群不健康,1.6,0.47,28.3,21.4,65,38,12.5,13.5,0.9,0.3,108,"2024/01/12 05:00:00",0.6,38.1,65,2,120.357422,22.628126,50
仁武,高雄市,119,細懸浮微粒,對敏感族群不健康,1.8,0.48,20.3,16.9,59,41,19.6,20.2,0.6,0.3,119,"2024/01/12 05:00:00",0.5,42.5,60,2,120.332631,22.689056,49
橋頭,高雄市,125,細懸浮微粒,對敏感族群不健康,0.9,0.36,23.6,11.8,51,32,13.5,13.6,0,1.3,62,"2024/01/12 05:00:00",0.5,44.6,71,2,120.305689,22.757506,48
美濃,高雄市,78,細懸浮微粒,普通,0.2,0.34,9.6,22.6,32,24,,,,0.2,92,"2024/01/12 05:00:00",0.3,26.4,39,1,120.530542,22.883583,47
臺南,臺南市,140,細懸浮微粒,對敏感族群不健康,3.2,0.55,6.8,15.5,78,59,29,31.1,2,0.2,347,"2024/01/12 05:00:00",0.5,50.5,79,2,120.21947897,22.98928311,46
安南,臺南市,123,細懸浮微粒,對敏感族群不健康,1.3,0.59,0.2,9.6,79,50,30.2,35.2,5,0.3,29,"2024/01/12 05:00:00",0.5,43.9,76,2,120.2175,23.048197,45
善化,臺南市,105,細懸浮微粒,對敏感族群不健康,3.2,0.45,6.2,7.6,62,27,16.1,17.3,1.1,1.4,97,"2024/01/12 05:00:00",0.5,36.9,67,2,120.29740529,23.11337642,44
新營,臺南市,104,細懸浮微粒,對敏感族群不健康,1.3,0.5,14,8.4,57,38,13,13.6,0.5,1,56,"2024/01/12 05:00:00",0.5,36.8,69,2,120.31725,23.305633,43
嘉義,嘉義市,109,細懸浮微粒,對敏感族群不健康,1.8,0.42,20.8,11.5,46,38,9.1,9.5,0.3,1.2,105,"2024/01/12 05:00:00",0.5,38.4,60,2,120.44125148,23.46477865,42
臺西,雲林縣,110,細懸浮微粒,對敏感族群不健康,3.1,0.64,2.5,8,86,53,25.1,26.6,1.5,1.7,46,"2024/01/12 05:00:00",0.7,38.9,77,3,120.19933333,23.702175,41
朴子,嘉義縣,114,細懸浮微粒,對敏感族群不健康,2.4,0.46,5.6,15.2,69,42,20.6,20.4,0,0.4,9,"2024/01/12 05:00:00",0.4,40.5,65,2,120.2478,23.46538,40
新港,嘉義縣,113,細懸浮微粒,對敏感族群不健康,2,0.52,1.5,12.2,73,45,24.2,38.5,14.3,0.4,89,"2024/01/12 05:00:00",0.4,40,71,2,120.345531,23.554839,39
崙背,雲林縣,120,細懸浮微粒,對敏感族群不健康,,,,,,,,,,0.6,41,"2024/01/12 05:00:00",,43,69,1,120.348742,23.757547,38
斗六,雲林縣,124,細懸浮微粒,對敏感族群不健康,1.5,0.46,5.8,7.9,67,45,16.5,18.2,1.6,0.4,115,"2024/01/12 05:00:00",0.4,44.2,70,2,120.544994,23.711853,37
南投,南投縣,94,細懸浮微粒,普通,0.8,0.38,6.1,7.8,50,26,8.2,8.6,0.4,1.4,154,"2024/01/12 05:00:00",0.4,32.9,51,1,120.685306,23.913,36
二林,彰化縣,110,細懸浮微粒,對敏感族群不健康,1.9,0.49,6.8,10.7,77,47,19.9,21.1,1.1,0.8,42,"2024/01/12 05:00:00",0.4,38.8,72,2,120.409653,23.925175,35
線西,彰化縣,81,細懸浮微粒,普通,1.4,0.57,0.4,8.8,59,38,28.5,32.2,3.6,1.1,87,"2024/01/12 05:00:00",0.4,27.8,48,3,120.469061,24.131672,34
彰化,彰化縣,93,細懸浮微粒,普通,1,0.59,6.1,7,51,34,24.2,25,0.8,0.8,2,"2024/01/12 05:00:00",0.6,32.7,53,1,120.541519,24.066,33
西屯,臺中市,95,細懸浮微粒,普通,1.4,0.63,1.3,4.6,46,34,27.7,56.5,28.8,0.3,132,"2024/01/12 05:00:00",0.6,33.2,48,1,120.616917,24.162197,32
忠明,臺中市,99,細懸浮微粒,普通,1.6,0.49,1.5,2.1,43,32,29.1,36.1,7,0.4,342,"2024/01/12 05:00:00",0.7,35,52,2,120.641092,24.151958,31
大里,臺中市,91,細懸浮微粒,普通,1.2,0.54,4.1,4,46,33,16.1,17.2,1,0.3,260,"2024/01/12 05:00:00",0.6,31.9,52,1,120.67844444,24.09961111,30
沙鹿,臺中市,81,細懸浮微粒,普通,1.1,0.28,18.8,12.9,28,25,14.1,14.7,0.6,0.3,75,"2024/01/12 05:00:00",0.4,27.6,45,1,120.568794,24.225628,29
豐原,臺中市,71,細懸浮微粒,普通,0.8,0.31,29.6,32,31,19,7.3,8,0.7,0.2,82,"2024/01/12 05:00:00",0.3,23.5,35,1,120.74252414,24.25699731,28
三義,苗栗縣,60,細懸浮微粒,普通,0.8,0.32,30.9,28.1,29,18,3.3,3.7,0.4,1.1,7,"2024/01/12 05:00:00",0.3,19.1,29,1,120.75956754,24.38248443,27
苗栗,苗栗縣,61,細懸浮微粒,普通,1.5,0.3,0.3,3.8,24,18,18.2,30.9,12.7,1,177,"2024/01/12 05:00:00",0.3,19.5,31,2,120.82011468,24.56499183,26
頭份,苗栗縣,66,細懸浮微粒,普通,1.8,0.31,1,10.8,21,18,13,21,8,0.3,109,"2024/01/12 05:00:00",0.3,21.6,28,2,120.89869286,24.69690679,25
新竹,新竹市,61,細懸浮微粒,普通,2,0.3,13.5,19,21,15,13,14.1,1.1,0.2,34,"2024/01/12 05:00:00",0.3,19.6,22,1,120.97236752,24.8056356,24
竹東,新竹縣,56,細懸浮微粒,普通,0.9,0.26,17.3,19.5,17,17,8.4,8.9,0.4,0.2,123,"2024/01/12 05:00:00",0.2,17.7,22,0,121.08895493,24.74091408,23
湖口,新竹縣,65,細懸浮微粒,普通,,,,,30,,,,,,,"2024/01/12 05:00:00",,21,33,1,121.03886894,24.90009696,22
龍潭,桃園市,51,細懸浮微粒,普通,0.9,0.22,18.7,23.2,18,11,13.5,14.6,1,0.3,137,"2024/01/12 05:00:00",0.3,15.5,22,1,121.21645772,24.86400048,21
平鎮,桃園市,65,細懸浮微粒,普通,1,0.35,19.6,23.9,23,21,13.3,14.3,1,0.2,180,"2024/01/12 05:00:00",0.4,21.2,27,1,121.203986,24.952786,20
觀音,桃園市,63,細懸浮微粒,普通,3,0.32,16.5,20.3,39,24,18.8,19.7,0.9,1,92,"2024/01/12 05:00:00",0.3,20.5,39,,121.08283092,25.03556747,19
大園,桃園市,55,細懸浮微粒,普通,1.9,0.33,17.6,23.1,28,20,17.6,18.7,1.1,0.6,159,"2024/01/12 05:00:00",0.3,17.1,29,1,121.20251473,25.06100357,18
桃園,桃園市,58,細懸浮微粒,普通,2,0.34,11.9,24.4,24,22,19.9,20.7,0.8,0.7,194,"2024/01/12 05:00:00",0.3,18.5,27,2,121.30500531,24.9947107,17
大同,臺北市,61,細懸浮微粒,普通,0.8,0.45,10.9,13.7,22,15,23.9,26.2,2.2,-,-,"2024/01/12 05:00:00",0.7,19.4,30,1,121.51342074,25.06331455,16
松山,臺北市,51,細懸浮微粒,普通,1.7,0.19,27.6,18.9,14,13,7,7.4,0.4,0.3,59,"2024/01/12 05:00:00",0.3,15.6,21,2,121.578611,25.05,15
古亭,臺北市,52,細懸浮微粒,普通,0.8,0.22,26.4,29.6,16,14,5.5,6.2,0.6,1.2,124,"2024/01/12 05:00:00",0.2,16.1,20,1,121.529556,25.020608,14
萬華,臺北市,53,細懸浮微粒,普通,1.2,0.28,26,24.6,17,17,9.9,10.5,0.6,0.7,149,"2024/01/12 05:00:00",0.4,16.5,24,1,121.507972,25.046503,13
中山,臺北市,47,,良好,1.3,0.43,9.8,21.6,25,16,24.5,26.6,2.1,0.2,152,"2024/01/12 05:00:00",0.4,14.6,25,1,121.526528,25.062361,12
士林,臺北市,43,,良好,1.1,0.38,8.2,30.6,27,11,26.3,27.6,1.3,0.6,342,"2024/01/12 05:00:00",0.2,11.7,23,1,121.51666356,25.10334003,11
淡水,新北市,54,細懸浮微粒,普通,1.3,0.28,30.1,31.6,25,17,7.2,7.5,0.2,,,"2024/01/12 05:00:00",0.3,16.6,25,1,121.449239,25.1645,10
林口,新北市,42,,良好,2.8,0.22,36.5,34.6,20,11,7.7,8.3,0.6,2.4,120,"2024/01/12 05:00:00",0.2,12.8,22,1,121.36548982,25.07798949,9
菜寮,新北市,47,,良好,0.6,0.37,20.8,23.4,17,12,11.9,13.6,1.6,0.3,155,"2024/01/12 05:00:00",0.4,14.6,22,1,121.481028,25.06895,8
新莊,新北市,47,,良好,0.6,0.28,20.6,22.6,19,13,8.6,9.1,0.5,0.3,237,"2024/01/12 05:00:00",0.3,14.6,22,0,121.4325,25.037972,7
板橋,新北市,50,,良好,0.8,0.28,21.5,20,12,12,6.3,6.8,0.4,0.8,145,"2024/01/12 05:00:00",0.3,15.4,21,1,121.458667,25.012972,6
土城,新北市,57,細懸浮微粒,普通,1.2,0.35,3,23.7,22,21,20.4,26.8,6.4,0.3,146,"2024/01/12 05:00:00",0.3,17.8,24,1,121.451861,24.982528,5
新店,新北市,53,細懸浮微粒,普通,0.9,0.24,26.5,24.2,21,15,5.2,5.5,0.3,1.6,142,"2024/01/12 05:00:00",0.3,16.2,21,1,121.537778,24.977222,4
萬里,新北市,38,,良好,1.5,0.18,26.2,26.4,15,9,1.6,2,0.3,4.1,226,"2024/01/12 05:00:00",0.2,11.6,21,1,121.689881,25.179667,3
汐止,新北市,52,細懸浮微粒,普通,3,0.3,1.2,2.3,21,12,22.5,34.9,12.4,1,20,"2024/01/12 05:00:00",0.3,15.8,23,1,121.64081,25.06624,2
基隆,基隆市,48,,良好,1.1,0.23,10.6,14.6,11,11,6.8,7.2,0.4,0.3,333,"2024/01/12 05:00:00",0.3,14.7,15,1,121.760056,25.129167,1
